nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Maria Souza,3,Pedro II,9.19,9.96,19,0,False
Laura Santos,1,Pedro II,3.89,8.57,24,3.69,True
Valentina Ferreira,1,Pedro II,5.93,4.71,9,3.31,True
Valentina Alves,2,Francisto Chagas,8.47,8.9,8,0,False
Laura Silva,1,Gabriel Gomes,4.78,6.84,9,8.78,False
Heloisa Souza,2,Pedro II,9.32,7.2,23,0,True
Helena Alves,1,Gabriel Gomes,0.43,2.74,17,0.62,False
Heloisa Maia,3,Antonio Prado,9.57,7.0,12,0,False
Theo Martins,2,Pedro I,3.44,0.7,28,5.5,False
Sophia Rodrigues,2,Pedro II,1.57,7.76,6,7.99,False
Davi Ribeiro,2,Gabriel Gomes,9.76,9.33,25,0,True
Gabriel Oliveira,2,Pedro I,0.96,9.45,4,0.4,False
Alice Santos,3,Carlos Santos,6.33,1.73,5,9.26,False
Heitor Oliveira,2,Pedro I,8.15,3.99,21,3.85,True
Theo Santos,2,Francisto Chagas,5.49,8.62,1,0,False
Miguel Rodrigues,3,Carlos Santos,1.44,9.66,27,1.04,True
Helena Ferreira,2,Gabriel Gomes,6.8,9.13,8,0,True
Arthur Silva,1,Gabriel Gomes,7.94,6.92,14,0,True
Samuel Gomes,3,Pedro II,5.39,4.45,27,4.31,False
Gael Pereira,3,Pedro I,3.45,5.26,10,4.07,True
Helena Alves,1,Pedro II,4.12,2.73,18,3.75,True
Laura Gomes,3,Francisto Chagas,3.77,2.36,28,2.88,False
Maria Pereira,1,Gabriel Gomes,8.7,2.14,23,9.7,True
Sophia Souza,1,Antonio Prado,0.82,6.88,25,4.69,True
Sophia Souza,3,Gabriel Gomes,0.23,2.93,15,6.16,False
Heitor Ribeiro,1,Pedro I,5.43,6.14,8,2.0,False
Theo Martins,2,Pedro II,7.73,1.87,9,0.13,False
Bernardo Ferreira,3,Carlos Santos,0.14,4.19,30,9.17,True
Bernardo Martins,3,Carlos Santos,8.39,2.19,22,7.77,True
Sophia Martins,1,Francisto Chagas,6.49,6.65,8,1.17,False
Miguel Ribeiro,3,Pedro I,2.02,9.05,16,8.91,True
Davi Pereira,1,Francisto Chagas,0.72,4.1,30,4.5,True
Bernardo Silva,1,Francisto Chagas,1.76,6.43,28,3.62,False
Theo Rodrigues,3,Antonio Prado,8.41,6.51,30,0,True
Arthur Martins,1,Francisto Chagas,1.67,5.99,0,3.83,False
Heitor Alves,2,Francisto Chagas,4.98,3.7,21,9.78,False
Arthur Santos,1,Carlos Santos,2.66,9.07,3,5.24,False
Alice Alves,2,Pedro I,7.16,2.23,26,3.14,True
Heloisa Ribeiro,2,Antonio Prado,1.05,7.45,9,1.88,True
Laura Gomes,3,Francisto Chagas,9.76,0.31,28,8.79,True
Miguel Ribeiro,2,Francisto Chagas,8.26,4.36,12,9.49,False
Heloisa Alves,1,Carlos Santos,3.97,7.84,16,7.58,True
Alice Alves,3,Pedro I,4.88,8.58,23,7.51,True
Theo Martins,1,Francisto Chagas,5.64,1.19,8,0.52,True
Heloisa Pereira,3,Pedro I,8.56,2.55,18,3.89,True
Bernardo Silva,1,Gabriel Gomes,1.34,9.88,19,3.29,True
Arthur Souza,2,Francisto Chagas,3.86,4.97,6,5.29,False
Theo Santos,3,Gabriel Gomes,1.98,9.11,28,4.34,True
Bernardo Soares,3,Pedro II,8.26,4.47,3,7.22,True
Laura Maia,1,Pedro II,5.97,1.39,16,3.04,True
Laura Santos,3,Pedro II,5.3,1.27,1,1.99,False
Laura Ribeiro,1,Pedro II,8.31,3.24,27,7.15,True
